file_name,context
frame_1,본선 125노트로 고속 항해 중. 시계 내 타 선박 없음.   안전한 항해 상황.
frame_2,"본선 정선 상태. 정면과 우현에 유람선 및 어선 4척이   동시 출현. 모든 선박이 80노트 이상의 고속으로 기동 중이며, 특히    우현의 어선(ID 5)은 180노트로 접근하고 있어 매우 위협적.   복잡하고 위험한 상황임."
frame_3,본선 616노트의 극초고속 항해 중. 좌현의 유람선(ID 1)과    우현의 어선(ID 3)이 화면의 대부분을 차지하며 양쪽에서 근접.   본선의 속도와 주변 상황 모두 통제 불능에 가까운 극도의 위험   상황. 즉시 비상 감속 필요.
frame_4,"본선 186노트로 고속 항해 중. 우현에 어선 1척이   105노트의 속도로 항해 중. 다른 위협은 없어졌으나, 해당 선박과의    안전거리를 주시해야 함."
frame_5,본선 119노트로 항해 중. 우현의 어선(ID 3)이 198노트로   증속하며 접근. 거리가 가까워지고 있어 충돌 위험이 증가하고   있음. 해당 선박을 집중 감시해야 함.
frame_6,"본선 264노트의 초고속 항해 중. 우현의 어선(ID 3) 또한   238노트의 초고속으로 근접하여, 두 선박 간의 상대 속도는 낮으나   절대 속도가 매우 높아 위험함. 작은 실수도 큰 사고로 이어질 수   있는 상황."
frame_7,"본선 25노트로 감속. 좌현의 유람선(ID 1)이 278노트의   초고속으로 화면을 가로지르며 매우 근접해 있고, 우현에도   207노트의 고속 어선이 있음. 회피기동이 불가능한 협착 상황으로   충돌 위험이 극히 높음."
frame_8,본선 211노트로 고속 항해 중. 시계 내 타 선박 없음.   위험 상황 해소됨.
frame_9,"본선 21노트로 저속 항해 중. 우현에 대형 유람선 1척이   219노트의 초고속으로 접근. 위협적인 고속선이므로, 변침 또는   감속을 통해 미리 피항하는 것이 안전함."
frame_10,"본선 402노트의 초고속 항해 중. 우현에 어선과 유람선   2척이 각각 123, 219노트의 고속으로 항해 중. 본선을 포함한 모든   선박이 고속으로 기동하고 있어 우현에서의 충돌 위험이 매우   높음."
