<<<<<<< Updated upstream
﻿file_name,context
frame_1,"본선 정선 상태. 정면에 어선, 좌현에 대형 유람선이 각각 90노트 이상의 고속으로 접근 중. 특히 좌현의 유람선(ID 5)이 매우 근접해 있어, 해당 선박의 동정을 최우선으로 감시해야 함."
frame_2,"본선 275노트의 초고속으로 증속. 좌현에 보트와 어선 2척, 우현에 보트 1척이 모두 100노트 이상의 고속으로 기동 중. 전방위가 극도로 혼잡하고 위험한 상황으로, 즉시 감속하여 방어 항해로 전환해야 함."
frame_3,"본선 13노트로 감속. 좌현에만 보트, 어선, 유람선 등 4척의 선박이 밀집하여 각기 다른 속도로 항해 중. 좌현으로의 회피 기동이 불가능하며, 선박 간 연쇄 충돌 위험이 매우 높음. 좌현 집중 경계 필요."
frame_4,"본선 164노트로 고속 항해 중. 대부분의 선박이 좌현에 위치하고 있으며, 보트 1척(ID 1)이 우현으로 빠져나가고 있음. 여전히 좌현에 2척의 선박이 있어 경계가 필요함."
frame_5,"본선 11노트로 저속 항해 중. 우현의 보트 1척이 283노트의 초고속으로 항해 중. 다른 선박은 없으나, 해당 선박의 속도가 매우 빨라 예의주시해야 함."
frame_6,본선 123노트로 고속 항해 중. 좌현의 어선 1척이 251노트의 초고속으로 접근하고 있어 위협적. 해당 선박과의 안전 거리 확보에 집중해야 함.
frame_7,"본선 94노트로 항해 중. 우현의 보트 1척이 261노트의 초고속으로 항해 중. 고속선 1척만 존재하여 이전보다 상황은 단순하지만, 여전히 주의가 필요함."
frame_8,본선 167노트로 고속 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_9,본선 307노트의 초고속 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_10,"본선 671노트의 극초고속 항해 중. 시계 내 타 선박 없음. 제어가 불가능한 속도이므로, 비상 상황 발생 시 대처가 불가능함. 즉시 감속 필요."
=======
﻿file_name,text
frame_1,"짙은 안개, 시계 극히 제한적. 좌현에 크루즈선(ID:5), 정면에 어선(ID:0) 위치. 무중 항해 규칙에 따라 무신호 발신   및 경계 강화."
frame_2,"선수 전방에 보트(ID:1,3)와 어선(ID:2) 등 3척 추가 출현. 무중 밀집 조우 상황. 충돌 위험 매우 높음. 즉시 극도의   주의 및 감속."
frame_3,"전방에 5척(ID:0,1,2,3,5)의 선박이 밀집하여 이동. 시계 없는 상태에서 매우 위험한 상황. ARPA 기능을 최대로   활용하여 각 타겟의 동향 분석."
frame_4,"좌현의 어선(ID:2)이 매우 근접. 보트(ID:3)는 선수 방향으로, 다른 보트(ID:1)는 우현으로 이동 중. 연쇄 충돌   위험성 높음."
frame_5,주변 선박 대부분 통과. 선수 우현 원거리에 보트(ID:1) 1척만 탐지. 안개는 여전하므로 경계 늦추지 말 것.
frame_6,선수 우현에 어선(ID:2) 위치. 안개 속에서는 모든 타겟을 잠재적 위험으로 간주하고 CPA/TCPA 지속 확인.
frame_7,선수 우현 원거리에 보트(ID:3) 탐지. 안개로 육안 식별 불가. RADAR 정보에 전적으로 의존하여 항해.
frame_8,"주변 타선박 없음. 단, 안개 속에서는 언제든 선박이나 장애물이 출현할 수 있음. 자선의 위치를 알리는 무신호   규칙적 발신."
frame_9,타선박 없는 상태 지속. 안개가 약간 옅어지나 시계는 여전히 불량. 안전을 위해 현 침로 및 안전 속력 유지.
frame_10,전방 타선박 없음. 안개 속 항해 지속. 모든 항해 장비의 정상 작동 재확인 및 안전 항해에 만전.
>>>>>>> Stashed changes
