file_name,context
frame_1,"시계 양호. 본선 좌현측에 어선 1척, 우현측에 어선, 보트, 유람선 등 3척이 고속으로 항해 중입니다.   특히 선수 좌현의 유람선과 우현의 어선이 본선 방향으로 접근하고 있어, 전방위적인 경계 및 충돌 회피 조치가   요구되는 복잡한 상황입니다."
frame_2,"본선은 감속했으나, 좌현의 어선과 우현의 유람선은 여전히 고속으로 기동 중입니다. 유람선이   우현으로 이동하며 거리가 가까워지고 있어, 해당 선박을 최우선 감시 대상으로 지정하고 지속적인 CPA 분석이   필요합니다."
frame_3,"본선은 정선 상태를 유지하고 있습니다. 타 선박들은 대부분 통과하였고, 좌현에 있던 어선 1척만이   선수 중앙을 향해 고속으로 횡단하고 있습니다. 해당 선박이 안전하게 통과할 때까지 침로와 속력을 주시해야   합니다."
frame_4,"본선 증속 중, 우현에 보트와 유람선이 고속으로 출현했습니다. 다수의 선박이 우현에 밀집하여 각기   다른 침로로 항해하고 있어, 선박 간 충돌 위험 및 연쇄적인 위험 상황 발생 가능성이 높습니다. 우현 경계를   강화해야 합니다."
frame_5,"본선 고속 항해 중, 좌현에 유람선, 선수 우현에 어선이 근접하여 항해하고 있습니다. 특히 선수   우현의 어선과의 거리가 가까워 TCPA가 짧을 것으로 예상됩니다. 즉각적인 감속 또는 변침 등 충돌 회피 기동이   필요합니다."
frame_6,"본선 감속. 좌현의 어선과 우현의 어선 모두 비정상적인 고속으로 항해 중입니다. 두 선박이 본선의   양현에서 빠르게 접근하고 있어, 회피 기동 공간이 제한될 수 있습니다. 양 선박의 동정을 동시에 파악하며   신중한 항해가 요구됩니다."
frame_7,본선과 우현의 어선 1척이 모두 초고속으로 항해 중입니다. 어선이 우현에서 동일한 침로로 항주하고   있어 추월 상황이 예상됩니다. 추월 시 발생할 수 있는 선체 간 상호작용(Interaction)을 고려하여 충분한 안전   거리를 확보해야 합니다.
frame_8,"본선 최고 속력으로 항해 중, 선수 좌현에 있던 어선이 중앙으로 급격히 근접하고 있습니다. 바운딩   박스 크기로 보아 충돌이 임박한 매우 위험한 상황입니다. 즉시 최대 우현 변침 및 비상 감속을 통해 충돌을   회피해야 합니다."
frame_9,"위험 상황 종료. 본선은 고속으로 항해 중이며, 시야 내 다른 기동 선박은 없습니다. 이전의 긴급   상황을 복기하고, 항해 장비의 정상 작동 여부를 점검하며 안정적인 항해를 재개합니다."
frame_10,"본선 단독으로 고속 항해 중입니다. 전방 및 양현에 장애물이나 타 선박이 없어 항해에 지장은   없으나, 경계를 늦추지 않고 안전 속력을 유지하며 항해해야 합니다."
