file_name,text
1frame_1,"Own ship (Vessel ID 2) is sailing at a low speed of 2.2 knots on a course of 203 degrees. The situation is complex with 4 vessels nearby. A fishing vessel (Vessel ID 1) on the port bow and a cruise ship (Vessel ID 4) and a boat (Vessel ID 3) on the starboard bow are crossing the own ship's course. Specifically, the own ship is the give-way vessel for the cruise ship and the boat, so their movements must be monitored, and preparations made to alter course to starboard or reduce speed. For the fishing vessel on the port side, the own ship is the stand-on vessel, but it must be continuously confirmed whether the other vessel is giving way."
1frame_2,"Own ship (Vessel ID 2) is sailing at a low speed of 2.3 knots on a course of 203 degrees. A cruise ship (Vessel ID 4) is crossing the own ship's course from the starboard bow at a high speed of 7.3 knots on a course of 289 degrees. According to COLREGs, the own ship is the give-way vessel, so it must immediately alter course to starboard or reduce speed to avoid the cruise ship's path. Since the other vessel's speed is very fast, it is important to take early and substantial action to give way. The fishing vessel (Vessel ID 0) on the port side is moving away, so there is no danger."
1frame_3,"Own ship (Vessel ID 2) is sailing at a speed of 6.6 knots on a course of 203 degrees. A fishing vessel (Vessel ID 0) is approaching from the port bow at a high speed of 7.4 knots on a course of 102 degrees. In this crossing situation, the own ship is the stand-on vessel, but the risk of collision is high as the other vessel is approaching fast and the distance is closing. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If it does not give way, the own ship must sound a warning signal and immediately alter course to starboard to avoid a collision."
1frame_4,"Own ship (Vessel ID 2) is sailing at a low speed of 2.3 knots on a course of 203 degrees. A cruise ship (Vessel ID 4) and a boat (Vessel ID 3) are crossing the own ship's course from the starboard bow on courses of 289 degrees and 283 degrees, respectively. The own ship has the obligation to give way to both vessels. Since both vessels are approaching almost side-by-side, the own ship must alter course significantly to starboard to pass astern of both vessels, or reduce speed sufficiently to let them pass safely. This is a complex situation requiring careful maneuvering."
1frame_5,"Own ship (Vessel ID 2) is sailing at 3.8 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a speed of 5.2 knots on a course of 0 degrees. In this crossing situation which is close to a head-on situation, the own ship is the stand-on vessel. However, the risk of collision is very high as the other vessel's course is almost directly facing the own ship. It must be immediately confirmed whether the other vessel alters course to starboard to give way. If not, the own ship must also immediately alter course to starboard to attempt a port-to-port passing."
1frame_6,"Own ship (Vessel ID 2) is sailing at a low speed of 1.3 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a slow speed of 1.7 knots on a course of 0 degrees. This is a near head-on situation, and according to COLREGs, both vessels must alter course to starboard to pass port-to-port. Both vessels are slow, allowing some time, but clear avoidance action is necessary. The own ship must immediately alter course to starboard and sound a whistle signal to indicate its intention to give way."
1frame_7,"Own ship (Vessel ID 2) is sailing at a low speed of 1.4 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching from the port bow at a speed of 3.7 knots on a course of 0 degrees. This is a crossing situation close to head-on, and while the own ship is the stand-on vessel, the risk of collision is high. The other vessel must be closely monitored to see if it fulfills its obligation to give way. If the other vessel shows no sign of avoidance, the own ship must immediately send a warning signal and alter course to starboard to avoid collision."
1frame_8,"Own ship (Vessel ID 2) is sailing at a low speed of 1.1 knots on a course of 203 degrees. A fishing vessel (Vessel ID 5) is approaching very closely from the port bow at a high speed of 7.2 knots on a course of 0 degrees. This is an extremely dangerous situation with an imminent head-on collision. The own ship is the stand-on vessel, but there is no time to wait for the other vessel to give way. An emergency warning signal must be sounded immediately, and emergency maneuvers, including engine astern and maximum starboard rudder, must be taken to avoid a collision."
1frame_9,"Own ship (Vessel ID 2) is sailing at a speed of 2.3 knots on a course of 203 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
1frame_10,"Own ship (Vessel ID 2) is sailing at a speed of 5.5 knots on a course of 203 degrees. No other vessels are observed in the vicinity, so it is a safe situation with no risk of collision. Maintain the current course and speed, and continue sailing while continuously monitoring the front and surrounding areas."
